adduser	3.137ubuntu1
libqt5xml5t64:arm64	5.15.13+dfsg-1ubuntu1
librabbitmq4:arm64	0.11.0-1ubuntu0.1
libraqm0:arm64	0.10.1-1build1
libraspberrypi-bin	0~20230913+gitcc1ca18-0ubuntu2
libraspberrypi0:arm64	0~20230913+gitcc1ca18-0ubuntu2
librav1e0:arm64	0.7.1-2
libraw1394-11:arm64	2.1.2-2build3
libraw1394-dev:arm64	2.1.2-2build3
libraw1394-tools	2.1.2-2build3
libraw23t64:arm64	0.21.2-2.1ubuntu0.24.04.2
librbio4:arm64	1:7.6.1+dfsg-1build1
librdmacm1t64:arm64	50.0-2ubuntu0.2
libreadline8t64:arm64	8.2-4build1
libreiserfscore0t64	1:3.6.27-7.1build1
librhash0:arm64	1.4.3-3build1
librist4:arm64	0.2.10+dfsg-2
librsvg2-2:arm64	2.58.0+dfsg-1build1
librsvg2-common:arm64	2.58.0+dfsg-1build1
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2build7
librttopo-dev:arm64	1.1.0-3build2
librttopo1:arm64	1.1.0-3build2
librubberband2:arm64	3.3.0+dfsg-2build1
libruby:arm64	1:3.2~ubuntu1
libruby3.2:arm64	3.2.3-1ubuntu0.24.04.8
libsamplerate0:arm64	0.2.2-4build1
libsamplerate0-dev:arm64	0.2.2-4build1
libsasl2-2:arm64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules:arm64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:arm64	2.1.28+dfsg1-5ubuntu3.1
libsdl2-2.0-0:arm64	2.30.0+dfsg-1ubuntu3.1
libsdl2-dev:arm64	2.30.0+dfsg-1ubuntu3.1
libseccomp2:arm64	2.5.5-1ubuntu3.1
libselinux1:arm64	3.5-2ubuntu2.1
libselinux1-dev:arm64	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2:arm64	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors5:arm64	1:3.6.0-9build1
libsepol-dev:arm64	3.5-2build1
libsepol2:arm64	3.5-2build1
libserd-0-0:arm64	0.32.2-1
libserf-1-1:arm64	1.3.10-1ubuntu0.24.04.1
libsframe1:arm64	2.42-4ubuntu2.10
libsgutils2-1.46-2:arm64	1.46-3ubuntu4
libshaderc-dev:arm64	2023.8-1build1
libshaderc1:arm64	2023.8-1build1
libsharpyuv-dev:arm64	1.3.2-0.4build3
libsharpyuv0:arm64	1.3.2-0.4build3
libshine3:arm64	3.1.1-2build1
libsigsegv2:arm64	2.14-1ubuntu2
libslang2:arm64	2.3.3-3build2
libsm-dev:arm64	2:1.2.3-1build3
libsm6:arm64	2:1.2.3-1build3
libsmartcols1:arm64	2.39.3-9ubuntu6.5
libsnappy1v5:arm64	1.1.10-1build1
libsndfile1:arm64	1.2.2-1ubuntu5.24.04.1
libsndio-dev:arm64	1.9.0-0.3build3
libsndio7.0:arm64	1.9.0-0.3build3
libsocket++1:arm64	1.12.13+git20131030.5d039ba-1build1
libsodium-dev:arm64	1.0.18-1ubuntu0.24.04.1
libsodium23:arm64	1.0.18-1ubuntu0.24.04.1
libsord-0-0:arm64	0.16.16-2build1
libsort-naturally-perl	1.03-4
libsoup-3.0-0:arm64	3.4.4-5ubuntu0.7
libsoup-3.0-common	3.4.4-5ubuntu0.7
libsoxr0:arm64	0.1.3-4build3
libspatialite-dev:arm64	5.1.0-3build1
libspatialite8t64:arm64	5.1.0-3build1
libspdlog-dev:arm64	1:1.12.0+ds-2build1
libspdlog1.12:arm64	1:1.12.0+ds-2build1
libspeex1:arm64	1.2.1-2ubuntu2.24.04.1
libspex2:arm64	1:7.6.1+dfsg-1build1
libsphinxbase3t64:arm64	0.8+5prealpha+1-17build2
libspqr4:arm64	1:7.6.1+dfsg-1build1
libsqlite3-0:arm64	3.45.1-1ubuntu2.7
libsqlite3-dev:arm64	3.45.1-1ubuntu2.7
libsratom-0-0:arm64	0.6.16-1build1
libsrt1.5-gnutls:arm64	1.5.3-1build2
libss2:arm64	1.47.0-2.4~exp1ubuntu4.1
libssh-4:arm64	0.10.6-2ubuntu0.4
libssh-gcrypt-4:arm64	0.10.6-2ubuntu0.4
libssl-dev:arm64	3.0.13-0ubuntu3.12
libssl3t64:arm64	3.0.13-0ubuntu3.12
libstdc++-13-dev:arm64	13.3.0-6ubuntu2~24.04.1
libstdc++6:arm64	14.2.0-4ubuntu2~24.04.1
libstemmer0d:arm64	2.2.0-4build1
libsuitesparse-dev:arm64	1:7.6.1+dfsg-1build1
libsuitesparse-mongoose3:arm64	1:7.6.1+dfsg-1build1
libsuitesparseconfig7:arm64	1:7.6.1+dfsg-1build1
libsuperlu-dev:arm64	6.0.1+dfsg1-1build1
libsuperlu6:arm64	6.0.1+dfsg1-1build1
libsvn1:arm64	1.14.3-1build4
libsvtav1enc1d1:arm64	1.7.0+dfsg-2build1
libswresample-dev:arm64	7:6.1.1-3ubuntu5
libswresample4:arm64	7:6.1.1-3ubuntu5
libswscale-dev:arm64	7:6.1.1-3ubuntu5
libswscale7:arm64	7:6.1.1-3ubuntu5
libsystemd-shared:arm64	255.4-1ubuntu8.17
libsystemd0:arm64	255.4-1ubuntu8.17
libsz2:arm64	1.1.2-1build1
libtasn1-6:arm64	4.19.0-3ubuntu0.24.04.2
libtbb-dev:arm64	2021.11.0-2ubuntu2
libtbb12:arm64	2021.11.0-2ubuntu2
libtbbbind-2-5:arm64	2021.11.0-2ubuntu2
libtbbmalloc2:arm64	2021.11.0-2ubuntu2
libtcl8.6:arm64	8.6.14+dfsg-1build1
libterm-readkey-perl	2.38-2build4
libtesseract5:arm64	5.3.4-1build5
libtext-charwidth-perl:arm64	0.04-11build3
libtext-iconv-perl:arm64	1.7-8build3
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-2build1
libthai0:arm64	0.1.29-2build1
libtheora0:arm64	1.1.1+dfsg.1-16.1build3
libtiff-dev:arm64	4.5.1+git230720-4ubuntu2.5
libtiff6:arm64	4.5.1+git230720-4ubuntu2.5
libtiffxx6:arm64	4.5.1+git230720-4ubuntu2.5
libtinfo6:arm64	6.4+20240113-1ubuntu2.1
libtinyxml2-10:arm64	10.0.0+dfsg-2
libtinyxml2-dev:arm64	10.0.0+dfsg-2
libtirpc-common	1.3.4+ds-1.1build1
libtirpc-dev:arm64	1.3.4+ds-1.1build1
libtirpc3t64:arm64	1.3.4+ds-1.1build1
libtk8.6:arm64	8.6.14-1build1
libtool	2.4.7-7build1
libtraceevent1:arm64	1:1.8.2-1ubuntu2.1
libtraceevent1-plugin:arm64	1:1.8.2-1ubuntu2.1
libtracefs1:arm64	1.8.0-1ubuntu1
libtsan2:arm64	14.2.0-4ubuntu2~24.04.1
libtwolame0:arm64	0.4.0-2build3
libubootenv-tool	0.3.5-0.1build1
libubootenv0.1:arm64	0.3.5-0.1build1
libubsan1:arm64	14.2.0-4ubuntu2~24.04.1
libuchardet0:arm64	0.0.8-1build1
libucx0:arm64	1.16.0+ds-5ubuntu1
libudev-dev:arm64	255.4-1ubuntu8.17
libudev1:arm64	255.4-1ubuntu8.17
libudfread0:arm64	1.1.2-1build1
libudisks2-0:arm64	2.10.1-6ubuntu1.3
libumfpack6:arm64	1:7.6.1+dfsg-1build1
libunibreak5:arm64	5.1-2build1
libunistring5:arm64	1.1-2build1.1
libunwind8:arm64	1.6.2-3build1.1
liburcu-dev:arm64	0.14.0-3.1build1
liburcu8t64:arm64	0.14.0-3.1build1
liburdfdom-dev:arm64	4.0.0-0ubuntu1
liburdfdom-headers-dev	1.0.5-3
liburdfdom-model-state4.0:arm64	4.0.0-0ubuntu1
liburdfdom-model4.0:arm64	4.0.0-0ubuntu1
liburdfdom-sensor4.0:arm64	4.0.0-0ubuntu1
liburdfdom-world4.0:arm64	4.0.0-0ubuntu1
liburiparser-dev	0.9.7+dfsg-2build1
liburiparser1:arm64	0.9.7+dfsg-2build1
libusb-1.0-0:arm64	2:1.0.27-1
libutempter0:arm64	1.2.1-3build1
libutf8proc3:arm64	2.9.0-1build1
libuuid1:arm64	2.39.3-9ubuntu6.5
libuv1t64:arm64	1.48.0-1.1build1
libva-drm2:arm64	2.20.0-2ubuntu0.2
libva-x11-2:arm64	2.20.0-2ubuntu0.2
libva2:arm64	2.20.0-2ubuntu0.2
libvdpau1:arm64	1.5-2build1
libvidstab1.1:arm64	1.1.0-2build1
libvisual-0.4-0:arm64	0.4.2-2build1
libvolume-key1:arm64	0.3.12-7build2
libvorbis0a:arm64	1.3.7-1build3
libvorbisenc2:arm64	1.3.7-1build3
libvorbisfile3:arm64	1.3.7-1build3
libvpx9:arm64	1.14.0-1ubuntu2.3
libvtk9.1t64:arm64	9.1.0+really9.1.0+dfsg2-7.1build3
libvulkan-dev:arm64	1.3.275.0-1build1
libvulkan1:arm64	1.3.275.0-1build1
libwacom-common	2.10.0-2
libwacom9:arm64	2.10.0-2
libwayland-bin	1.22.0-2.1build1
libwayland-client0:arm64	1.22.0-2.1build1
libwayland-cursor0:arm64	1.22.0-2.1build1
libwayland-dev:arm64	1.22.0-2.1build1
libwayland-egl1:arm64	1.22.0-2.1build1
libwayland-server0:arm64	1.22.0-2.1build1
libwebp-dev:arm64	1.3.2-0.4build3
libwebp7:arm64	1.3.2-0.4build3
libwebpdecoder3:arm64	1.3.2-0.4build3
libwebpdemux2:arm64	1.3.2-0.4build3
libwebpmux3:arm64	1.3.2-0.4build3
libwmf-0.2-7:arm64	0.2.13-1.1build3
libwmf-dev	0.2.13-1.1build3
libwmflite-0.2-7:arm64	0.2.13-1.1build3
libwrap0:arm64	7.6.q-33
libx11-6:arm64	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-dev:arm64	2:1.8.7-1build1
libx11-xcb-dev:arm64	2:1.8.7-1build1
libx11-xcb1:arm64	2:1.8.7-1build1
libx264-164:arm64	2:0.164.3108+git31e19f9-1
libx265-199:arm64	3.5-2build1
libx265-dev:arm64	3.5-2build1
libxau-dev:arm64	1:1.0.9-1build6
libxau6:arm64	1:1.0.9-1build6
libxaw7:arm64	2:1.0.14-1build2
libxaw7-dev:arm64	2:1.0.14-1build2
libxcb-dri3-0:arm64	1.15-1ubuntu2
libxcb-glx0:arm64	1.15-1ubuntu2
libxcb-icccm4:arm64	0.4.1-1.1build3
libxcb-image0:arm64	0.4.0-2build1
libxcb-keysyms1:arm64	0.4.0-1build4
libxcb-present0:arm64	1.15-1ubuntu2
libxcb-randr0:arm64	1.15-1ubuntu2
libxcb-randr0-dev:arm64	1.15-1ubuntu2
libxcb-render-util0:arm64	0.3.9-1build4
libxcb-render0:arm64	1.15-1ubuntu2
libxcb-render0-dev:arm64	1.15-1ubuntu2
libxcb-shape0:arm64	1.15-1ubuntu2
libxcb-shm0:arm64	1.15-1ubuntu2
libxcb-sync1:arm64	1.15-1ubuntu2
libxcb-util1:arm64	0.4.0-1build3
libxcb-xfixes0:arm64	1.15-1ubuntu2
libxcb-xinerama0:arm64	1.15-1ubuntu2
libxcb-xinput0:arm64	1.15-1ubuntu2
libxcb-xkb1:arm64	1.15-1ubuntu2
libxcb1:arm64	1.15-1ubuntu2
libxcb1-dev:arm64	1.15-1ubuntu2
libxcomposite1:arm64	1:0.4.5-1build3
libxcursor-dev:arm64	1:1.2.1-1build1
libxcursor1:arm64	1:1.2.1-1build1
libxdamage1:arm64	1:1.1.6-1build1
libxdmcp-dev:arm64	1:1.1.3-0ubuntu6
libxdmcp6:arm64	1:1.1.3-0ubuntu6
libxerces-c-dev:arm64	3.2.4+debian-1.2ubuntu2
libxerces-c3.2t64:arm64	3.2.4+debian-1.2ubuntu2
libxext-dev:arm64	2:1.3.4-1build2
libxext6:arm64	2:1.3.4-1build2
libxfixes-dev:arm64	1:6.0.0-2build1
libxfixes3:arm64	1:6.0.0-2build1
libxft2:arm64	2.3.6-1build1
libxi-dev:arm64	2:1.8.1-1build1
libxi6:arm64	2:1.8.1-1build1
libxinerama-dev:arm64	2:1.1.4-3build1
libxinerama1:arm64	2:1.1.4-3build1
libxkbcommon-dev:arm64	1.6.0-1build1
libxkbcommon-x11-0:arm64	1.6.0-1build1
libxkbcommon0:arm64	1.6.0-1build1
libxml2:arm64	2.9.14+dfsg-1.3ubuntu3.8
libxml2-dev:arm64	2.9.14+dfsg-1.3ubuntu3.8
libxml2-utils	2.9.14+dfsg-1.3ubuntu3.8
libxmlb2:arm64	0.3.24-1~ubuntu0.24.04.1
libxmlsec1t64:arm64	1.2.39-5build2
libxmlsec1t64-openssl:arm64	1.2.39-5build2
libxmu-dev:arm64	2:1.1.3-3build2
libxmu-headers	2:1.1.3-3build2
libxmu6:arm64	2:1.1.3-3build2
libxmuu1:arm64	2:1.1.3-3build2
libxnvctrl0:arm64	510.47.03-0ubuntu4.24.04.1
libxpm-dev:arm64	1:3.5.17-1ubuntu0.24.04.1
libxpm4:arm64	1:3.5.17-1ubuntu0.24.04.1
libxrandr-dev:arm64	2:1.5.2-2build1
libxrandr2:arm64	2:1.5.2-2build1
libxrender-dev:arm64	1:0.9.10-1.1build1
libxrender1:arm64	1:0.9.10-1.1build1
libxshmfence1:arm64	1.3-1build5
libxsimd-dev:arm64	12.1.1-3build1
libxslt1.1:arm64	1.1.39-0exp1ubuntu0.24.04.3
libxss-dev:arm64	1:1.2.3-1build3
libxss1:arm64	1:1.2.3-1build3
libxt-dev:arm64	1:1.2.1-1.2build1
libxt6t64:arm64	1:1.2.1-1.2build1
libxtables12:arm64	1.8.10-3ubuntu2
libxtensor-dev	0.25.0-1
libxtst6:arm64	2:1.2.3-1.1build1
libxv-dev:arm64	2:1.0.11-1.1build1
libxv1:arm64	2:1.0.11-1.1build1
libxvidcore4:arm64	2:1.3.7-1build1
libxxf86vm-dev:arm64	1:1.1.4-1build4
libxxf86vm1:arm64	1:1.1.4-1build4
libxxhash0:arm64	0.8.2-2build1
libyaml-0-2:arm64	0.2.5-1build1
libyaml-cpp-dev:arm64	0.8.0+dfsg-6build1
libyaml-cpp0.8:arm64	0.8.0+dfsg-6build1
libyaml-dev:arm64	0.2.5-1build1
libzimg2:arm64	3.0.5+ds1-1build1
libzip-dev:arm64	1.7.3-1.1ubuntu2
libzip4t64:arm64	1.7.3-1.1ubuntu2
libzix-0-0:arm64	0.4.2-2build1
libzmq3-dev:arm64	4.3.5-1build2
libzmq5:arm64	4.3.5-1build2
libzstd-dev:arm64	1.5.5+dfsg2-2build1.1
libzstd1:arm64	1.5.5+dfsg2-2build1.1
libzvbi-common	0.2.42-2
libzvbi0t64:arm64	0.2.42-2
libzzip-0-13t64:arm64	0.13.72+dfsg.1-1.2build1
libzzip-dev	0.13.72+dfsg.1-1.2build1
linux-base	4.5ubuntu9+24.04.2
linux-firmware	20240318.git3b128b60-0ubuntu2.29
linux-firmware-raspi	12-0ubuntu1.1
linux-image-6.8.0-1047-raspi	6.8.0-1047.51
linux-image-6.8.0-1060-raspi	6.8.0-1060.64
linux-image-6.8.0-1061-raspi	6.8.0-1061.65
linux-image-raspi	6.8.0-1061.65
linux-libc-dev:arm64	6.8.0-138.138
linux-modules-6.8.0-1047-raspi	6.8.0-1047.51
linux-modules-6.8.0-1060-raspi	6.8.0-1060.64
linux-modules-6.8.0-1061-raspi	6.8.0-1061.65
locales	2.39-0ubuntu8.8
login	1:4.13+dfsg1-4ubuntu3.2
logrotate	3.21.0-2build1
logsave	1.47.0-2.4~exp1ubuntu4.1
lsb-release	12.0-2
lshw	02.19.git.2021.06.19.996aaad9c7-2ubuntu0.24.04.1
lsof	4.95.0-1build3
lto-disabled-list	47
lttng-tools	2.13.11-2.1build4
lvm2	2.03.16-3ubuntu3.2
lxd-agent-loader	0.7ubuntu0.1
lxd-installer	4ubuntu0.1
m4	1.4.19-4build1
make	4.3-4.1build2
man-db	2.12.0-4build2
manpages	6.7-2
manpages-dev	6.7-2
mawk	1.3.4.20240123-1build1
mdadm	4.3-1ubuntu2.1
media-types	10.1.0
mercurial	6.7.2-1ubuntu2.2
mercurial-common	6.7.2-1ubuntu2.2
mesa-libgallium:arm64	25.2.8-0ubuntu0.24.04.2
mesa-va-drivers:arm64	25.2.8-0ubuntu0.24.04.2
mesa-vdpau-drivers:arm64	25.2.8-0ubuntu0.24.04.2
mesa-vulkan-drivers:arm64	25.2.8-0ubuntu0.24.04.2
modemmanager	1.23.4-0ubuntu2
motd-news-config	13ubuntu10.4
mount	2.39.3-9ubuntu6.5
mpi-default-bin	1.15build1
mpi-default-dev	1.15build1
mtd-utils	1:2.2.0-1ubuntu2
mtr-tiny	0.95-1.1ubuntu0.1
multipath-tools	0.9.4-5ubuntu8.2
mysql-common	5.8+1.1.0build1
nano	7.2-2ubuntu0.2
ncurses-base	6.4+20240113-1ubuntu2.1
ncurses-bin	6.4+20240113-1ubuntu2.1
ncurses-term	6.4+20240113-1ubuntu2.1
needrestart	3.6-7ubuntu4.5
netbase	6.4
netcat-openbsd	1.226-1ubuntu2
netplan-generator	1.1.2-8ubuntu1~24.04.2
netplan.io	1.1.2-8ubuntu1~24.04.2
networkd-dispatcher	2.2.4-1
nftables	1.0.9-1ubuntu0.1
nlohmann-json3-dev	3.11.3-1
notification-daemon	3.20.0-4build3
ntfs-3g	1:2022.10.3-1.2ubuntu3.2
numactl	2.0.18-1ubuntu0.24.04.1
ocl-icd-libopencl1:arm64	2.3.2-1build1
open-iscsi	2.1.9-3ubuntu5.4
open-vm-tools	2:13.0.0-2~ubuntu0.24.04.1
opencv-data	4.6.0+dfsg-13.1ubuntu1
openmpi-bin	4.1.6-7ubuntu2
openmpi-common	4.1.6-7ubuntu2
openssh-client	1:9.6p1-3ubuntu13.18
openssh-server	1:9.6p1-3ubuntu13.18
openssh-sftp-server	1:9.6p1-3ubuntu13.18
openssl	3.0.13-0ubuntu3.12
overlayroot	0.49~24.04.1
packagekit	1.2.8-2ubuntu1.5
packagekit-tools	1.2.8-2ubuntu1.5
parted	3.6-4build1
passwd	1:4.13+dfsg1-4ubuntu3.2
pastebinit	1.6.2-1
patch	2.7.6-7build3
pci.ids	0.0~2024.03.31-1ubuntu0.1
pciutils	1:3.10.0-2build1
pemmican-common	1.0.3-0ubuntu1
pemmican-server	1.0.3-0ubuntu1
perl	5.38.2-3.2ubuntu0.3
perl-base	5.38.2-3.2ubuntu0.3
perl-modules-5.38	5.38.2-3.2ubuntu0.3
pinentry-curses	1.2.1-3ubuntu5
pkg-config:arm64	1.8.1-2build1
pkgconf:arm64	1.8.1-2build1
pkgconf-bin	1.8.1-2build1
plymouth	24.004.60-1ubuntu7.2
plymouth-theme-ubuntu-text	24.004.60-1ubuntu7.2
pocketsphinx-en-us	0.8.0+real5prealpha+1-15ubuntu5
polkitd	124-2ubuntu1.24.04.3
pollinate	4.33-3.1ubuntu1.3
poppler-data	0.4.12-1
powermgmt-base	1.37ubuntu0.1
procps	2:4.0.4-4ubuntu3.2
proj-bin	9.4.0-1build2
proj-data	9.4.0-1build2
protobuf-compiler	3.21.12-8.2ubuntu0.3
psmisc	23.7-1build1
publicsuffix	20231001.0357-0.1
pybind11-dev	2.11.1-2
pydocstyle	6.3.0-1.1
pyflakes3	3.2.0-1
python-apt-common	2.7.7ubuntu5.2
python-babel-localedata	2.10.3-3build1
python3	3.12.3-0ubuntu2.1
python3-apport	2.28.3-0ubuntu0.1
python3-apt	2.7.7ubuntu5.2
python3-argcomplete	3.1.4-1ubuntu0.1
python3-attr	23.2.0-2
python3-automat	22.10.0-2
python3-babel	2.10.3-3build1
python3-bcrypt	3.2.2-1build1
python3-blinker	1.7.0-1
python3-bloom	0.14.3+upstream-1
python3-boto3	1.34.46+dfsg-1ubuntu1
python3-botocore	1.34.46+repack-1ubuntu1
python3-breezy	3.3.5-6build2
python3-bs4	4.12.3-1
python3-catkin-pkg	1.1.0-101
python3-catkin-pkg-modules	1.1.0-2
python3-certifi	2023.11.17-1
python3-cffi-backend:arm64	1.16.0-2build1
python3-chardet	5.2.0+dfsg-1
python3-click	8.1.6-2
python3-colcon-argcomplete	0.3.3+upstream-1
python3-colcon-bash	0.5.0-100
python3-colcon-cd	0.2.1-100
python3-colcon-cmake	0.2.30+upstream-1
python3-colcon-common-extensions	0.3.0-100
python3-colcon-core	0.21.0+upstream-1
python3-colcon-defaults	0.2.9+upstream-1
python3-colcon-devtools	0.3.0-100
python3-colcon-installed-package-information	0.2.1-100
python3-colcon-library-path	0.2.1-100
python3-colcon-metadata	0.2.5-100
python3-colcon-mixin	0.2.3-100
python3-colcon-notification	0.3.1+upstream-1
python3-colcon-output	0.2.14+upstream-1
python3-colcon-override-check	0.0.1-100
python3-colcon-package-information	0.4.1+upstream-1
python3-colcon-package-selection	0.2.10-100
python3-colcon-parallel-executor	0.3.0-100
python3-colcon-pkg-config	0.1.0-100
python3-colcon-powershell	0.5.0+upstream-1
python3-colcon-python-setup-py	0.2.9-100
python3-colcon-recursive-crawl	0.2.3-100
python3-colcon-ros	0.5.0+upstream-1
python3-colcon-test-result	0.3.8-100
python3-colcon-zsh	0.5.0-100
python3-colorama	0.4.6-4
python3-commandnotfound	23.04.0
python3-configobj	5.0.8-3
python3-constantly	23.10.4-1
python3-coverage	7.4.4+dfsg1-0ubuntu2
python3-cryptography	41.0.7-4ubuntu0.4
python3-cssselect	1.2.0-2
python3-dateutil	2.8.2-3ubuntu1
python3-dbus	1.3.2-5build3
python3-debconf	1.5.86ubuntu1
python3-debian	0.1.49ubuntu2
python3-deprecated	1.2.14-1
python3-dev	3.12.3-0ubuntu2.1
python3-distlib	0.3.8-1
python3-distro	1.9.0-1
python3-distro-info	1.7build1
python3-distupgrade	1:24.04.28
python3-docutils	0.20.1+dfsg-3
python3-dulwich	0.21.6-1build2
python3-empy	3.3.4-2
python3-fastbencode	0.2-1build2
python3-fastimport	0.9.14-2.1
python3-flake8	7.0.0-1
python3-flake8-builtins	2.1.0-1
python3-flake8-comprehensions	3.14.0-1
python3-flake8-docstrings	1.6.0-2
python3-flake8-import-order	0.18.2-2
python3-flake8-quotes	3.4.0-1
python3-gdbm:arm64	3.12.3-0ubuntu1
python3-gi	3.48.2-1
python3-github	2.2.0-1
python3-gpg	1.18.0-4.1ubuntu4
python3-hamcrest	2.1.0-1
python3-html5lib	1.1-6
python3-httplib2	0.20.4-3ubuntu0.1
python3-hyperlink	21.0.0-5
python3-idna	3.6-2ubuntu0.2
python3-importlib-metadata	4.12.0-1
python3-incremental	22.10.0-1
python3-iniconfig	1.1.1-2
python3-jinja2	3.1.2-1ubuntu1.3
python3-jmespath	1.0.1-1
python3-json-pointer	2.0-0ubuntu1
python3-jsonpatch	1.32-3
python3-jsonschema	4.10.3-2ubuntu1
python3-jwt	2.7.0-1ubuntu0.1
python3-lark	1.1.9-1
python3-launchpadlib	1.11.0-6
python3-lazr.restfulclient	0.14.6-1
python3-lazr.uri	1.0.6-3
python3-lxml:arm64	5.2.1-1
python3-magic	2:0.4.27-3
python3-markdown-it	3.0.0-2
python3-markupsafe	2.1.5-1build2
python3-mccabe	0.7.0-1
python3-mdurl	0.1.2-1
python3-merge3	0.0.8-1
python3-minimal	3.12.3-0ubuntu2.1
python3-more-itertools	10.2.0-1
python3-nacl	1.5.0-4build1
python3-netifaces:arm64	0.11.0-2build3
python3-netplan	1.1.2-8ubuntu1~24.04.2
python3-newt:arm64	0.52.24-2ubuntu2
python3-notify2	0.3-5
python3-numpy	1:1.26.4+ds-6ubuntu1
python3-oauthlib	3.2.2-1
python3-olefile	0.46-3
python3-opencv:arm64	4.6.0+dfsg-13.1ubuntu1
python3-openssl	23.2.0-1ubuntu0.1
python3-packaging	24.0-1
python3-patiencediff	0.2.13-1build2
python3-pexpect	4.9-2
python3-pil:arm64	10.2.0-1ubuntu1.2
python3-pkg-resources	68.1.2-2ubuntu1.2
python3-pluggy	1.4.0-1
python3-problem-report	2.28.3-0ubuntu0.1
python3-protobuf	3.21.12-8.2ubuntu0.3
python3-psutil	5.9.8-2build2
python3-ptyprocess	0.7.0-5
python3-pyasn1	0.4.8-4ubuntu0.2
python3-pyasn1-modules	0.2.8-1
python3-pycodestyle	2.11.1-1
python3-pydocstyle	6.3.0-1.1
python3-pyflakes	3.2.0-1
python3-pygments	2.17.2+dfsg-1
python3-pykdl:arm64	1.5.1-4build1
python3-pyparsing	3.1.1-1
python3-pyrsistent:arm64	0.20.0-1build2
python3-pytest	7.4.4-1
python3-pytest-cov	4.1.0-1
python3-requests	2.31.0+dfsg-1ubuntu1.1
python3-rich	13.7.1-1
python3-roman	3.3-3
python3-rosdep	0.26.0-1
python3-rosdep-modules	0.26.0-1
python3-rosdistro	1.0.1-100
python3-rosdistro-modules	1.0.1-1
python3-rospkg-modules	1.6.1-1
python3-s3transfer	0.10.1-1ubuntu2
python3-serial	3.5-2
python3-service-identity	24.1.0-1
python3-setuptools	68.1.2-2ubuntu1.2
python3-six	1.16.0-4
python3-snowballstemmer	2.2.0-4build1
python3-software-properties	0.99.49.4
python3-soupsieve	2.5-1
python3-systemd	235-1build4
python3-twisted	24.3.0-1ubuntu0.2
python3-typeguard	4.1.5-1
python3-typing-extensions	4.10.0-1
python3-tz	2024.1-2
python3-tzlocal	5.2-1.1
python3-update-manager	1:24.04.12
python3-urllib3	2.0.7-1ubuntu0.7
python3-vcstool	0.3.0-1
python3-vcstools	0.1.42-1
python3-wadllib	1.3.6-5
python3-webencodings	0.5.1-5
python3-wrapt	1.15.0-2build3
python3-yaml	6.0.1-2build2
python3-zipp	1.0.0-6ubuntu0.1
python3-zope.interface	6.1-1build1
python3.12	3.12.3-1ubuntu0.15
python3.12-dev	3.12.3-1ubuntu0.15
python3.12-minimal	3.12.3-1ubuntu0.15
qml-module-qt-labs-folderlistmodel:arm64	5.15.13+dfsg-1ubuntu0.1
qml-module-qt-labs-platform:arm64	5.15.13+dfsg-1
qml-module-qt-labs-settings:arm64	5.15.13+dfsg-1ubuntu0.1
qml-module-qtcharts:arm64	5.15.13-1
qml-module-qtgraphicaleffects:arm64	5.15.13-1
qml-module-qtlocation:arm64	5.15.13+dfsg-1
qml-module-qtpositioning:arm64	5.15.13+dfsg-1
qml-module-qtqml:arm64	5.15.13+dfsg-1ubuntu0.1
qml-module-qtqml-models2:arm64	5.15.13+dfsg-1ubuntu0.1
qml-module-qtquick-controls:arm64	5.15.13-1
qml-module-qtquick-controls2:arm64	5.15.13+dfsg-1
qml-module-qtquick-dialogs:arm64	5.15.13-1
qml-module-qtquick-extras:arm64	5.15.13-1
qml-module-qtquick-layouts:arm64	5.15.13+dfsg-1ubuntu0.1
qml-module-qtquick-privatewidgets:arm64	5.15.13-1
qml-module-qtquick-templates2:arm64	5.15.13+dfsg-1
qml-module-qtquick-window2:arm64	5.15.13+dfsg-1ubuntu0.1
qml-module-qtquick2:arm64	5.15.13+dfsg-1ubuntu0.1
qt5-gtk-platformtheme:arm64	5.15.13+dfsg-1ubuntu1
qt5-qmake:arm64	5.15.13+dfsg-1ubuntu1
qt5-qmake-bin	5.15.13+dfsg-1ubuntu1
qt5-qmltooling-plugins:arm64	5.15.13+dfsg-1ubuntu0.1
qtbase5-dev:arm64	5.15.13+dfsg-1ubuntu1
qtbase5-dev-tools	5.15.13+dfsg-1ubuntu1
qtchooser	66-2build2
qtdeclarative5-dev:arm64	5.15.13+dfsg-1ubuntu0.1
qtdeclarative5-dev-tools	5.15.13+dfsg-1ubuntu0.1
qtquickcontrols2-5-dev:arm64	5.15.13+dfsg-1
qttranslations5-l10n	5.15.13-1
qtwayland5:arm64	5.15.13-1
rake	13.0.6-3
rapidjson-dev	1.1.0+dfsg2-7.2
readline-common	8.2-4build1
ros-build-essential	1.0.1
ros-dev-tools	1.0.1
ros-jazzy-action-msgs	2.0.4-1noble.20260612.052535
ros-jazzy-actionlib-msgs	5.3.8-1noble.20260612.053838
